Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,-1,11.72222,0.4182868,1.205083,-0.2496107,179.3899
,,-1,12.16667,0.4163368,1.208574,-0.2419124,177.1093
,,-1,12.61111,0.4037998,1.204613,-0.2280154,210.6211
,,-1,13.05556,0.3819895,1.209049,-0.208349,224.4922
,,-1,13.5,0.2723322,1.205358,-0.19179,226.6976
,,-1,13.94444,0.1141601,1.202414,-0.2500182,222.9809
,,-1,14.38889,0.1030717,1.19832,-0.3164082,202.0175
,,-1,14.83333,0.1845053,1.175764,-0.3161576,105.9941
,,-1,15.27778,0.2911696,1.179626,-0.2552018,99.10389
,,-1,15.72222,0.5843787,1.183138,-0.07351178,100.395
,,-1,16.16667,0.8924249,1.179928,0.1063994,111.0837
,,-1,16.61111,1.182725,1.18481,0.2624882,133.4384
,,-1,17.05556,1.28447,1.185097,0.294699,186.8648
,,-1,17.5,1.24916,1.16924,0.3172903,217.9841
,,-1,17.94444,1.325036,1.219913,0.3410933,151.579
,,-1,18.38889,1.569649,1.219046,0.4509826,152.8584
,,0,26.53333,0.3029081,1.090201,0.1769505,223.7577
,,0,26.97778,0.3123955,1.097159,0.1751959,221.2175
,,0,27.42222,0.3130854,1.095452,0.1795607,221.8278
,,0,27.86667,0.3471987,1.09889,0.3596765,220.6545
,,0,28.31111,0.3875261,1.114451,0.4809579,212.6087
,,0,28.75556,0.4435034,1.147308,0.4569089,193.0847
,,0,29.2,0.4833365,1.158325,0.4489098,164.3934
,,0,29.64445,0.5142711,1.151093,0.4722474,126.3029
,,0,30.08889,0.4558696,1.152648,0.4737991,162.9715
,,0,30.53333,0.3765931,1.12093,0.5165541,213.3045
,,0,30.97778,0.3696573,1.110025,0.5090698,214.4948
,,0,31.42222,0.3819531,1.10686,0.5037935,213.6498
,,0,31.86667,0.3781381,1.104118,0.5001771,215.655
,,0,32.31111,0.3832696,1.103417,0.5112871,215.5024
,,0,32.75556,0.485699,1.109451,0.5916342,215.7049
,,0,33.2,0.5208778,1.117041,0.5988982,216.1983
,,0,33.64444,0.5258121,1.120371,0.5944312,215.0577
,,0,34.08889,0.5442042,1.129387,0.5911498,207.3147
,,0,34.53333,0.5579441,1.124357,0.5614787,211.1541
